iShares Russell Mid-Cap Growth ETF
Fund Holdings as of,"Jan 07, 2026"
Inception Date,"Jul 17, 2001"
Shares Outstanding,"149,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","582,279,293.40","2.76","582,279,293.40","2,760,926.00","210.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","527,561,105.30","2.50","527,561,105.30","1,744,465.00","302.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","460,920,031.00","2.19","460,920,031.00","1,570,426.00","293.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","449,342,168.40","2.13","449,342,168.40","2,619,460.00","171.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","437,745,915.24","2.08","437,745,915.24","2,158,404.00","202.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","429,160,673.97","2.03","429,160,673.97","1,260,717.00","340.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","419,542,298.34","1.99","419,542,298.34","930,703.00","450.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","391,964,258.85","1.86","391,964,258.85","548,547.00","714.55","United States","NASDAQ","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","368,736,030.00","1.75","368,736,030.00","872,748.00","422.50","United States","NASDAQ","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","360,121,220.40","1.71","360,121,220.40","2,329,374.00","154.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","343,197,191.94","1.63","343,197,191.94","785,546.00","436.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RBLX","ROBLOX CORP CLASS A","Communication","Equity","326,338,389.34","1.55","326,338,389.34","4,270,327.00","76.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","318,904,964.19","1.51","318,904,964.19","513,609.00","620.91","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","305,652,082.44","1.45","305,652,082.44","318,693.00","959.08","United States","NASDAQ","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","303,993,311.11","1.44","303,993,311.11","2,149,198.00","141.44","United States","NASDAQ","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","289,618,228.64","1.37","289,618,228.64","581,516.00","498.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","263,616,525.59","1.25","263,616,525.59","6,491,419.00","40.61","United States","NASDAQ","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","258,261,031.44","1.22","258,261,031.44","257,058.00","1,004.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","255,271,869.35","1.21","255,271,869.35","1,462,457.00","174.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
