,Date,Open,High,Low,Close
252,2020-01-02,"1,234.40","1,242.11","1,231.46","1,242.09"
251,2020-01-03,"1,234.40","1,242.11","1,228.65","1,237.80"
250,2020-01-06,"1,231.26","1,241.92","1,228.81","1,241.84"
249,2020-01-07,"1,241.09","1,244.68","1,238.74","1,241.69"
248,2020-01-08,"1,242.35","1,253.24","1,241.82","1,247.68"
247,2020-01-09,"1,253.69","1,259.41","1,253.69","1,257.87"
246,2020-01-10,"1,259.32","1,261.14","1,252.68","1,254.67"
245,2020-01-13,"1,256.48","1,263.68","1,255.43","1,263.64"
244,2020-01-14,"1,263.49","1,268.64","1,259.30","1,263.41"
243,2020-01-15,"1,263.57","1,272.29","1,263.41","1,267.23"
242,2020-01-16,"1,272.94","1,280.29","1,272.94","1,280.28"
241,2020-01-17,"1,282.00","1,282.73","1,277.88","1,280.51"
240,2020-01-21,"1,278.23","1,282.73","1,276.27","1,277.78"
239,2020-01-22,"1,282.86","1,290.36","1,279.88","1,280.79"
238,2020-01-23,"1,279.81","1,284.21","1,273.68","1,283.29"
237,2020-01-24,"1,286.91","1,289.86","1,266.11","1,272.42"
236,2020-01-27,"1,271.26","1,271.26","1,250.23","1,253.18"
235,2020-01-28,"1,257.30","1,270.68","1,256.91","1,267.25"
234,2020-01-29,"1,269.74","1,271.05","1,262.46","1,263.68"
233,2020-01-30,"1,258.76","1,266.19","1,250.84","1,265.72"
232,2020-01-31,"1,262.78","1,262.78","1,237.46","1,240.42"
231,2020-02-03,"1,243.90","1,257.86","1,243.90","1,253.16"
230,2020-02-04,"1,261.24","1,279.21","1,261.24","1,276.48"
229,2020-02-05,"1,283.00","1,287.90","1,275.27","1,278.52"
228,2020-02-06,"1,279.74","1,282.57","1,277.01","1,279.43"
227,2020-02-07,"1,276.40","1,276.40","1,268.03","1,269.69"
226,2020-02-10,"1,268.04","1,280.23","1,266.77","1,280.22"
225,2020-02-11,"1,284.59","1,292.16","1,284.59","1,287.06"
224,2020-02-12,"1,289.92","1,298.03","1,288.24","1,297.72"
223,2020-02-13,"1,294.49","1,304.26","1,290.94","1,300.07"
222,2020-02-14,"1,301.75","1,307.14","1,301.75","1,306.61"
221,2020-02-18,"1,305.45","1,307.23","1,301.44","1,306.09"
220,2020-02-19,"1,307.39","1,318.06","1,307.39","1,314.21"
219,2020-02-20,"1,311.27","1,317.49","1,293.22","1,310.11"
218,2020-02-21,"1,306.59","1,306.59","1,286.28","1,290.09"
217,2020-02-24,"1,289.10","1,289.10","1,242.13","1,251.00"
216,2020-02-25,"1,255.57","1,259.68","1,208.72","1,211.33"
215,2020-02-26,"1,211.86","1,231.17","1,199.25","1,201.93"
214,2020-02-27,"1,196.89","1,200.83","1,159.56","1,159.81"
213,2020-02-28,"1,159.72","1,159.72","1,116.66","1,154.08"
212,2020-03-02,"1,154.12","1,192.83","1,144.31","1,192.41"
211,2020-03-03,"1,192.30","1,207.96","1,152.84","1,164.21"
210,2020-03-04,"1,174.63","1,209.91","1,174.63","1,209.85"
209,2020-03-05,"1,204.93","1,204.94","1,162.36","1,171.79"
208,2020-03-06,"1,170.43","1,170.43","1,121.72","1,149.19"
207,2020-03-09,"1,119.66","1,119.66","1,059.48","1,064.54"
206,2020-03-10,"1,074.79","1,113.45","1,055.62","1,113.41"
205,2020-03-11,"1,111.76","1,111.76","1,042.35","1,055.26"
204,2020-03-12,"1,048.81","1,048.81",956.50,956.78
203,2020-03-13,978.71,"1,025.12",949.55,"1,025.02"
202,2020-03-16,"1,011.53","1,011.53",894.47,895.18
201,2020-03-17,900.78,949.55,878.72,942.94
200,2020-03-18,912.16,912.16,833.34,880.10
199,2020-03-19,876.04,912.50,850.89,896.95
198,2020-03-20,903.39,925.20,859.16,860.68
197,2020-03-23,860.77,865.50,822.51,844.03
196,2020-03-24,875.41,932.93,875.41,932.42
195,2020-03-25,935.29,986.35,923.45,952.54
194,2020-03-26,958.02,"1,009.49",958.02,"1,007.85"
193,2020-03-27,993.88,994.99,965.85,972.86
192,2020-03-30,974.14,"1,002.85",971.11,"1,001.01"
191,2020-03-31,997.90,"1,002.03",976.86,981.09
190,2020-04-01,963.24,963.24,928.45,936.78
189,2020-04-02,936.05,958.22,926.91,946.81
188,2020-04-03,945.44,950.60,919.32,929.44
187,2020-04-06,956.46,"1,008.45",956.46,"1,004.86"
186,2020-04-07,"1,020.16","1,042.48","1,006.61","1,006.82"
185,2020-04-08,"1,012.55","1,048.82","1,009.72","1,044.74"
184,2020-04-09,"1,053.99","1,076.24","1,053.31","1,060.81"
183,2020-04-13,"1,055.52","1,055.52","1,027.82","1,044.30"
182,2020-04-14,"1,058.19","1,080.95","1,058.19","1,079.71"
181,2020-04-15,"1,072.31","1,072.30","1,051.03","1,060.59"
180,2020-04-16,"1,064.26","1,075.93","1,057.56","1,071.21"
179,2020-04-17,"1,080.04","1,108.67","1,080.04","1,107.16"
178,2020-04-20,"1,103.24","1,110.81","1,090.37","1,093.56"
177,2020-04-21,"1,081.37","1,081.37","1,049.25","1,053.49"
176,2020-04-22,"1,068.92","1,087.82","1,068.92","1,083.43"
175,2020-04-23,"1,085.64","1,100.08","1,082.53","1,084.49"
174,2020-04-24,"1,086.62","1,103.33","1,082.64","1,100.67"
173,2020-04-27,"1,108.41","1,129.92","1,108.41","1,126.70"
172,2020-04-28,"1,138.53","1,147.37","1,118.86","1,122.82"
171,2020-04-29,"1,130.22","1,161.28","1,130.22","1,155.82"
170,2020-04-30,"1,153.79","1,153.79","1,133.66","1,134.32"
169,2020-05-01,"1,115.12","1,116.58","1,095.89","1,102.33"
168,2020-05-04,"1,099.62","1,113.30","1,089.41","1,113.15"
167,2020-05-05,"1,117.15","1,143.03","1,117.15","1,131.16"
166,2020-05-06,"1,137.76","1,146.72","1,131.62","1,135.03"
165,2020-05-07,"1,138.96","1,165.03","1,138.96","1,155.94"
164,2020-05-08,"1,161.80","1,176.46","1,161.80","1,174.27"
163,2020-05-11,"1,169.13","1,187.62","1,164.15","1,180.95"
162,2020-05-12,"1,183.12","1,187.71","1,154.83","1,154.83"
161,2020-05-13,"1,154.31","1,157.13","1,116.09","1,128.22"
160,2020-05-14,"1,125.66","1,143.28","1,104.51","1,143.28"
159,2020-05-15,"1,141.04","1,156.38","1,131.09","1,153.28"
158,2020-05-18,"1,173.65","1,195.51","1,173.65","1,187.45"
157,2020-05-19,"1,187.62","1,200.25","1,182.03","1,182.04"
156,2020-05-20,"1,191.92","1,206.82","1,191.92","1,202.69"
155,2020-05-21,"1,201.22","1,204.62","1,185.63","1,194.63"
154,2020-05-22,"1,195.50","1,204.14","1,190.95","1,203.65"
153,2020-05-26,"1,206.36","1,232.06","1,206.36","1,214.08"
152,2020-05-27,"1,215.91","1,229.06","1,192.53","1,229.06"
151,2020-05-28,"1,228.98","1,248.46","1,226.42","1,229.51"
150,2020-05-29,"1,230.18","1,248.69","1,226.80","1,247.25"
149,2020-06-01,"1,247.03","1,262.55","1,245.44","1,257.74"
148,2020-06-02,"1,258.73","1,267.88","1,250.58","1,267.73"
147,2020-06-03,"1,269.68","1,290.02","1,269.68","1,287.51"
