fy,revenue_usd,shares_outstanding,effective_date,sales_per_share,sps_5y_cagr,revenue_tag_used,ticker,cik
2018.0,3344000000,184770249.0,2019-02-26,18.09815172138454,,RevenueFromContractWithCustomerExcludingAssessedTax,AA,0001675149
2019.0,2436000000,185580166.0,2020-02-21,13.126402742844837,,RevenueFromContractWithCustomerExcludingAssessedTax,AA,0001675149
2020.0,2392000000,185978069.0,2021-02-25,12.861731562553217,,RevenueFromContractWithCustomerExcludingAssessedTax,AA,0001675149
2021.0,12152000000,184099748.0,2022-02-24,66.00769491547592,,RevenueFromContractWithCustomerExcludingAssessedTax,AA,0001675149
2022.0,12451000000,176969091.0,2023-02-23,70.35691899440225,,RevenueFromContractWithCustomerExcludingAssessedTax,AA,0001675149
2023.0,10551000000,178472464.0,2024-02-21,59.118363491636444,0.2671196789245842,RevenueFromContractWithCustomerExcludingAssessedTax,AA,0001675149
2024.0,11895000000,258360908.0,2025-02-20,46.040246924662455,0.28528187688907014,RevenueFromContractWithCustomerExcludingAssessedTax,AA,0001675149
2018.0,10938000000,460610870.0,2019-02-25,23.746725734023602,,RevenueFromContractWithCustomerExcludingAssessedTax,AAL,0000006201
2019.0,11313000000,428202506.0,2020-02-19,26.419742625233493,,RevenueFromContractWithCustomerExcludingAssessedTax,AAL,0000006201
2020.0,4027000000,621479522.0,2021-02-17,6.479698618291723,,RevenueFromContractWithCustomerExcludingAssessedTax,AAL,0000006201
2021.0,29882000000,647727595.0,2022-02-22,46.13359108160275,,RevenueFromContractWithCustomerExcludingAssessedTax,AAL,0000006201
2022.0,48971000000,650642461.0,2023-02-22,75.26560735789421,,RevenueFromContractWithCustomerExcludingAssessedTax,AAL,0000006201
2023.0,52788000000,654273192.0,2024-02-21,80.68189350481595,0.2771281252151232,RevenueFromContractWithCustomerExcludingAssessedTax,AAL,0000006201
2024.0,54211000000,657566166.0,2025-02-19,82.44189376373723,0.2555785143229754,RevenueFromContractWithCustomerExcludingAssessedTax,AAL,0000006201
2011.0,3063307000,134358345.0,2012-02-29,22.79952912489358,,Revenues,ACGL,0000947484
2012.0,3482381000,133842613.0,2013-03-01,26.01847738881189,,Revenues,ACGL,0000947484
2013.0,3526157000,133674884.0,2014-03-03,26.37860527337357,,Revenues,ACGL,0000947484
2014.0,3988873000,127367934.0,2015-02-27,31.317717691801455,,Revenues,ACGL,0000947484
2015.0,3936590000,122627783.0,2016-02-26,32.101942183852415,,Revenues,ACGL,0000947484
2016.0,4463556000,122787517.0,2017-03-01,36.351871175960014,0.0977922957322499,Revenues,ACGL,0000947484
2017.0,5627375000,130977939.0,2018-02-28,42.96429645300801,0.10551633825028817,Revenues,ACGL,0000947484
2018.0,5450568000,402454834.0,2019-02-28,13.543303594658774,-0.12482569780511066,Revenues,ACGL,0000947484
2019.0,6928200000,405619201.0,2020-02-28,17.080552357776575,-0.11418636443626307,Revenues,ACGL,0000947484
