,Bloomberg Ticker,Ticker
0,A UN Equity,A
1,AA UN Equity,AA
2,AAL UW Equity,AAL
3,AAON UW Equity,AAON
4,AAPL UW Equity,AAPL
5,ABBV UN Equity,ABBV
6,ABNB UW Equity,ABNB
7,ABT UN Equity,ABT
8,ACGL UW Equity,ACGL
9,ACHC UW Equity,ACHC
10,ACI UN Equity,ACI
11,ACM UN Equity,ACM
12,ACN UN Equity,ACN
13,ADBE UW Equity,ADBE
14,ADC UN Equity,ADC
15,ADI UW Equity,ADI
16,ADM UN Equity,ADM
17,ADP UW Equity,ADP
18,ADSK UW Equity,ADSK
19,ADT UN Equity,ADT
20,AEE UN Equity,AEE
21,AEP UW Equity,AEP
22,AES UN Equity,AES
23,AFG UN Equity,AFG
24,AFL UN Equity,AFL
25,AFRM UW Equity,AFRM
26,AGCO UN Equity,AGCO
27,AGNC UW Equity,AGNC
28,AGO UN Equity,AGO
29,AIG UN Equity,AIG
30,AIT UN Equity,AIT
31,AIZ UN Equity,AIZ
32,AJG UN Equity,AJG
33,AKAM UW Equity,AKAM
34,AL UN Equity,AL
35,ALAB UW Equity,ALAB
36,ALB UN Equity,ALB
37,ALGM UW Equity,ALGM
38,ALGN UW Equity,ALGN
39,ALK UN Equity,ALK
40,ALL UN Equity,ALL
41,ALLE UN Equity,ALLE
42,ALLY UN Equity,ALLY
43,ALNY UW Equity,ALNY
44,ALSN UN Equity,ALSN
45,AM UN Equity,AM
46,AMAT UW Equity,AMAT
47,AMCR UN Equity,AMCR
48,AMD UW Equity,AMD
49,AME UN Equity,AME
50,AMG UN Equity,AMG
51,AMGN UW Equity,AMGN
52,AMH UN Equity,AMH
53,AMKR UW Equity,AMKR
54,AMP UN Equity,AMP
55,AMT UN Equity,AMT
56,AMTM UN Equity,AMTM
57,AMZN UW Equity,AMZN
58,AN UN Equity,AN
59,ANET UN Equity,ANET
60,AON UN Equity,AON
61,AOS UN Equity,AOS
62,APA UW Equity,APA
63,APD UN Equity,APD
64,APG UN Equity,APG
65,APH UN Equity,APH
66,APLS UW Equity,APLS
67,APO UN Equity,APO
68,APP UW Equity,APP
69,APPF UQ Equity,APPF
70,APTV UN Equity,APTV
71,AR UN Equity,AR
72,ARE UN Equity,ARE
73,ARES UN Equity,ARES
74,ARMK UN Equity,ARMK
75,ARW UN Equity,ARW
76,AS UN Equity,AS
77,ASH UN Equity,ASH
78,ASTS UW Equity,ASTS
79,ATI UN Equity,ATI
80,ATO UN Equity,ATO
81,ATR UN Equity,ATR
82,AU UN Equity,AU
83,AUR UW Equity,AUR
84,AVB UN Equity,AVB
85,AVGO UW Equity,AVGO
86,AVT UW Equity,AVT
87,AVTR UN Equity,AVTR
88,AVY UN Equity,AVY
89,AWI UN Equity,AWI
90,AWK UN Equity,AWK
91,AXON UW Equity,AXON
92,AXP UN Equity,AXP
93,AXS UN Equity,AXS
94,AXTA UN Equity,AXTA
95,AYI UN Equity,AYI
96,AZO UN Equity,AZO
97,BA UN Equity,BA
98,BAC UN Equity,BAC
99,BAH UN Equity,BAH
100,BALL UN Equity,BALL
101,BAM UN Equity,BAM
102,BAX UN Equity,BAX
103,BBWI UN Equity,BBWI
104,BBY UN Equity,BBY
105,BC UN Equity,BC
106,BDX UN Equity,BDX
107,BEN UN Equity,BEN
108,BEPC UN Equity,BEPC
109,BF/A UN Equity,BF/A
110,BF/B UN Equity,BF/B
111,BFAM UN Equity,BFAM
112,BG UN Equity,BG
113,BHF UW Equity,BHF
114,BIIB UW Equity,BIIB
115,BILL UN Equity,BILL
116,BIO UN Equity,BIO
117,BIRK UN Equity,BIRK
118,BJ UN Equity,BJ
119,BK UN Equity,BK
120,BKNG UW Equity,BKNG
121,BKR UW Equity,BKR
122,BLD UN Equity,BLD
123,BLDR UN Equity,BLDR
124,BLK UN Equity,BLK
125,BLSH UN Equity,BLSH
126,BMRN UW Equity,BMRN
127,BMY UN Equity,BMY
128,BOKF UW Equity,BOKF
129,BPOP UW Equity,BPOP
130,BR UN Equity,BR
131,BRBR UN Equity,BRBR
132,BRK/B UN Equity,BRK/B
133,BRKR UW Equity,BRKR
134,BRO UN Equity,BRO
135,BROS UN Equity,BROS
136,BRX UN Equity,BRX
137,BSX UN Equity,BSX
138,BSY UW Equity,BSY
139,BURL UN Equity,BURL
140,BWA UN Equity,BWA
141,BWXT UN Equity,BWXT
142,BX UN Equity,BX
143,BXP UN Equity,BXP
144,BYD UN Equity,BYD
145,C UN Equity,C
146,CACC UW Equity,CACC
147,CACI UN Equity,CACI
148,CAG UN Equity,CAG
149,CAH UN Equity,CAH
150,CAI UW Equity,CAI
151,CAR UW Equity,CAR
152,CARR UN Equity,CARR
153,CART UW Equity,CART
154,CASY UW Equity,CASY
155,CAT UN Equity,CAT
156,CAVA UN Equity,CAVA
157,CB UN Equity,CB
158,CBOE UF Equity,CBOE
159,CBRE UN Equity,CBRE
160,CBSH UW Equity,CBSH
161,CCC UW Equity,CCC
162,CCI UN Equity,CCI
163,CCK UN Equity,CCK
164,CCL UN Equity,CCL
165,CDNS UW Equity,CDNS
166,CDW UW Equity,CDW
167,CE UN Equity,CE
168,CEG UW Equity,CEG
169,CELH UR Equity,CELH
170,CERT UW Equity,CERT
171,CF UN Equity,CF
172,CFG UN Equity,CFG
173,CFLT UW Equity,CFLT
174,CFR UN Equity,CFR
175,CG UW Equity,CG
176,CGNX UW Equity,CGNX
177,CHD UN Equity,CHD
178,CHDN UW Equity,CHDN
179,CHE UN Equity,CHE
180,CHH UN Equity,CHH
181,CHRD UW Equity,CHRD
182,CHRW UW Equity,CHRW
183,CHTR UW Equity,CHTR
184,CHWY UN Equity,CHWY
185,CI UN Equity,CI
186,CIEN UN Equity,CIEN
187,CINF UW Equity,CINF
188,CIVI UN Equity,CIVI
189,CL UN Equity,CL
190,CLF UN Equity,CLF
191,CLH UN Equity,CLH
192,CLVT UN Equity,CLVT
193,CLX UN Equity,CLX
194,CMA UN Equity,CMA
195,CMCSA UW Equity,CMCSA
196,CME UW Equity,CME
197,CMG UN Equity,CMG
198,CMI UN Equity,CMI
199,CMS UN Equity,CMS
200,CNA UN Equity,CNA
201,CNC UN Equity,CNC
202,CNH UN Equity,CNH
203,CNM UN Equity,CNM
204,CNP UN Equity,CNP
205,CNXC UW Equity,CNXC
206,COF UN Equity,COF
207,COHR UN Equity,COHR
208,COIN UW Equity,COIN
209,COKE UW Equity,COKE
210,COLB UW Equity,COLB
211,COLD UN Equity,COLD
212,COLM UW Equity,COLM
213,COO UW Equity,COO
214,COP UN Equity,COP
215,COR UN Equity,COR
216,CORT UR Equity,CORT
217,COST UW Equity,COST
218,COTY UN Equity,COTY
219,CPAY UN Equity,CPAY
220,CPB UW Equity,CPB
221,CPNG UN Equity,CPNG
222,CPRT UW Equity,CPRT
223,CPT UN Equity,CPT
224,CR UN Equity,CR
225,CRBG UN Equity,CRBG
226,CRCL UN Equity,CRCL
227,CRH UN Equity,CRH
228,CRL UN Equity,CRL
229,CRM UN Equity,CRM
230,CROX UW Equity,CROX
231,CRS UN Equity,CRS
232,CRUS UW Equity,CRUS
233,CRWD UW Equity,CRWD
234,CSCO UW Equity,CSCO
235,CSGP UW Equity,CSGP
236,CSL UN Equity,CSL
237,CSX UW Equity,CSX
238,CTAS UW Equity,CTAS
239,CTRA UN Equity,CTRA
240,CTSH UW Equity,CTSH
241,CTVA UN Equity,CTVA
242,CUBE UN Equity,CUBE
243,CUZ UN Equity,CUZ
244,CVNA UN Equity,CVNA
245,CVS UN Equity,CVS
246,CVX UN Equity,CVX
247,CW UN Equity,CW
248,CWEN UN Equity,CWEN
249,CWEN/A UN Equity,CWEN/A
250,CXT UN Equity,CXT
251,CZR UW Equity,CZR
252,D UN Equity,D
253,DAL UN Equity,DAL
254,DAR UN Equity,DAR
255,DASH UW Equity,DASH
256,DAY UN Equity,DAY
257,DBX UW Equity,DBX
258,DCI UN Equity,DCI
259,DD UN Equity,DD
260,DDOG UW Equity,DDOG
261,DDS UN Equity,DDS
262,DE UN Equity,DE
263,DECK UN Equity,DECK
264,DELL UN Equity,DELL
265,DG UN Equity,DG
266,DGX UN Equity,DGX
267,DHI UN Equity,DHI
268,DHR UN Equity,DHR
269,DINO UN Equity,DINO
270,DIS UN Equity,DIS
271,DJT UQ Equity,DJT
272,DKNG UW Equity,DKNG
273,DKS UN Equity,DKS
274,DLB UN Equity,DLB
275,DLR UN Equity,DLR
276,DLTR UW Equity,DLTR
277,DOC UN Equity,DOC
278,DOCS UN Equity,DOCS
279,DOCU UW Equity,DOCU
280,DOV UN Equity,DOV
281,DOW UN Equity,DOW
282,DOX UW Equity,DOX
283,DPZ UW Equity,DPZ
284,DRI UN Equity,DRI
285,DRS UW Equity,DRS
286,DT UN Equity,DT
287,DTE UN Equity,DTE
288,DTM UN Equity,DTM
289,DUK UN Equity,DUK
290,DUOL UW Equity,DUOL
291,DV UN Equity,DV
292,DVA UN Equity,DVA
293,DVN UN Equity,DVN
